date;n_casualty
2019-12-21;335
2019-12-22;282
2019-12-23;410
2019-12-24;375
2019-12-25;196
2019-12-26;283
2019-12-27;272
2019-12-28;309
2019-12-29;262
2019-12-30;266
2019-12-31;270
2020-01-01;324
2020-01-02;260
2020-01-03;276
2020-01-04;275
2020-01-05;261
2020-01-06;354
2020-01-07;329
2020-01-08;385
2020-01-09;399
2020-01-10;432
2020-01-11;367
2020-01-12;244
2020-01-13;390
2020-01-14;309
2020-01-15;361
2020-01-16;438
2020-01-17;411
2020-01-18;342
2020-01-19;240
2020-01-20;417
2020-01-21;351
2020-01-22;360
2020-01-23;319
2020-01-24;391
2020-01-25;294
2020-01-26;299
2020-01-27;325
2020-01-28;377
2020-01-29;356
2020-01-30;385
2020-01-31;401
2020-02-01;278
2020-02-02;368
2020-02-03;306
2020-02-04;387
2020-02-05;335
2020-02-06;419
2020-02-07;418
2020-02-08;323
2020-02-09;322
2020-02-10;280
2020-02-11;326
2020-02-12;371
2020-02-13;337
2020-02-14;428
2020-02-15;350
2020-02-16;274
2020-02-17;299
2020-02-18;343
2020-02-19;305
2020-02-20;307
2020-02-21;381
2020-02-22;338
2020-02-23;264
2020-02-24;306
2020-02-25;345
2020-02-26;316
2020-02-27;302
2020-02-28;365
2020-02-29;281
2020-03-01;339
2020-03-02;321
2020-03-03;286
2020-03-04;322
2020-03-05;366
2020-03-06;423
2020-03-07;360
2020-03-08;287
2020-03-09;317
2020-03-10;315
2020-03-11;329
2020-03-12;288
2020-03-13;341
2020-03-14;254
2020-03-15;247
2020-03-16;156
2020-03-17;90
2020-03-18;72
2020-03-19;54
2020-03-20;55
2020-03-21;37
2020-03-22;37
2020-03-23;41
2020-03-24;31
2020-03-25;49
2020-03-26;42
2020-03-27;52
2020-03-28;55
2020-03-29;24
2020-03-30;86
2020-03-31;41
2020-04-01;57
2020-04-02;45
2020-04-03;57
2020-04-04;54
2020-04-05;75
2020-04-06;41
2020-04-07;69
2020-04-08;72
2020-04-09;69
2020-04-10;104
2020-04-11;53
2020-04-12;62
2020-04-13;34
2020-04-14;117
2020-04-15;74
2020-04-16;80
2020-04-17;101
2020-04-18;65
2020-04-19;39
2020-04-20;84
2020-04-21;81
2020-04-22;98
2020-04-23;90
2020-04-24;94
2020-04-25;84
2020-04-26;75
2020-04-27;82
2020-04-28;81
2020-04-29;81
2020-04-30;109
2020-05-01;56
2020-05-02;59
2020-05-03;75
2020-05-04;90
2020-05-05;119
2020-05-06;144
2020-05-07;144
2020-05-08;95
2020-05-09;96
2020-05-10;62
2020-05-11;184
2020-05-12;195
2020-05-13;189
2020-05-14;207
2020-05-15;254
2020-05-16;313
2020-05-17;297
2020-05-18;245
2020-05-19;339
2020-05-20;380
2020-05-21;243
2020-05-22;279
2020-05-23;216
2020-05-24;304
2020-05-25;253
2020-05-26;315
2020-05-27;306
2020-05-28;341
2020-05-29;367
2020-05-30;374
2020-05-31;346
2020-06-01;271
2020-06-02;349
2020-06-03;332
2020-06-04;249
2020-06-05;251
2020-06-06;367
2020-06-07;228
2020-06-08;256
2020-06-09;324
2020-06-10;251
2020-06-11;252
2020-06-12;325
2020-06-13;319
2020-06-14;374
2020-06-15;347
2020-06-16;309
2020-06-17;277
2020-06-18;337
2020-06-19;360
2020-06-20;373
2020-06-21;319
2020-06-22;348
2020-06-23;364
2020-06-24;397
2020-06-25;392
2020-06-26;337
2020-06-27;331
2020-06-28;362
2020-06-29;330
2020-06-30;358
2020-07-01;366
2020-07-02;394
2020-07-03;423
2020-07-04;415
2020-07-05;390
2020-07-06;358
2020-07-07;466
2020-07-08;463
2020-07-09;425
2020-07-10;416
2020-07-11;414
2020-07-12;347
2020-07-13;360
2020-07-14;269
2020-07-15;302
2020-07-16;333
2020-07-17;424
2020-07-18;364
2020-07-19;409
2020-07-20;352
2020-07-21;401
2020-07-22;381
2020-07-23;414
2020-07-24;372
2020-07-25;342
2020-07-26;339
2020-07-27;387
2020-07-28;406
2020-07-29;419
2020-07-30;389
2020-07-31;387
2020-08-01;440
2020-08-02;320
2020-08-03;327
2020-08-04;319
2020-08-05;400
2020-08-06;392
2020-08-07;341
2020-08-08;394
2020-08-09;306
2020-08-10;370
2020-08-11;288
2020-08-12;320
2020-08-13;342
2020-08-14;363
2020-08-15;340
2020-08-16;355
2020-08-17;297
2020-08-18;328
2020-08-19;339
2020-08-20;333
2020-08-21;344
2020-08-22;369
2020-08-23;338
2020-08-24;304
2020-08-25;291
2020-08-26;334
2020-08-27;349
2020-08-28;429
2020-08-29;332
2020-08-30;297
2020-08-31;350
2020-09-01;321
2020-09-02;393
2020-09-03;429
2020-09-04;485
2020-09-05;395
2020-09-06;334
2020-09-07;403
2020-09-08;442
2020-09-09;414
2020-09-10;372
2020-09-11;484
2020-09-12;452
2020-09-13;437
2020-09-14;353
2020-09-15;412
2020-09-16;434
2020-09-17;431
2020-09-18;467
2020-09-19;403
2020-09-20;383
2020-09-21;375
2020-09-22;400
2020-09-23;334
2020-09-24;426
2020-09-25;430
2020-09-26;309
2020-09-27;298
2020-09-28;366
2020-09-29;378
2020-09-30;357
2020-10-01;410
2020-10-02;443
2020-10-03;378
2020-10-04;222
2020-10-05;343
2020-10-06;396
2020-10-07;390
2020-10-08;321
2020-10-09;414
2020-10-10;385
2020-10-11;324
2020-10-12;316
2020-10-13;350
2020-10-14;389
2020-10-15;384
2020-10-16;375
2020-10-17;361
2020-10-18;251
2020-10-19;301
2020-10-20;369
2020-10-21;322
2020-10-22;367
2020-10-23;384
2020-10-24;342
2020-10-25;244
2020-10-26;245
2020-10-27;356
2020-10-28;279
2020-10-29;480
2020-10-30;171
2020-10-31;127
2020-11-01;131
2020-11-02;153
2020-11-03;196
2020-11-04;163
2020-11-05;230
2020-11-06;256
2020-11-07;159
2020-11-08;92
2020-11-09;247
2020-11-10;226
2020-11-11;120
2020-11-12;278
2020-11-13;286
2020-11-14;165
2020-11-15;131
2020-11-16;224
2020-11-17;216
2020-11-18;290
2020-11-19;299
2020-11-20;323
2020-11-21;172
2020-11-22;124
2020-11-23;230
2020-11-24;243
2020-11-25;249
2020-11-26;291
2020-11-27;233
2020-11-28;300
2020-11-29;164
2020-11-30;320
2020-12-01;341
2020-12-02;310
2020-12-03;376
2020-12-04;418
2020-12-05;225
2020-12-06;213
2020-12-07;290
2020-12-08;369
2020-12-09;281
2020-12-10;290
2020-12-11;430
2020-12-12;283
2020-12-13;206
2020-12-14;303
2020-12-15;338
2020-12-16;325
2020-12-17;384
2020-12-18;425
2020-12-19;272
2020-12-20;229
2020-12-21;294
2020-12-22;352
2020-12-23;358
2020-12-24;278
2020-12-25;117
2020-12-26;205
2020-12-27;133
2020-12-28;276
2020-12-29;175
2020-12-30;252
2020-12-31;236
2021-01-01;214
2021-01-02;206
2021-01-03;170
2021-01-04;276
2021-01-05;214
2021-01-06;250
2021-01-07;305
2021-01-08;382
2021-01-09;236
2021-01-10;198
2021-01-11;300
2021-01-12;374
2021-01-13;312
2021-01-14;351
2021-01-15;372
2021-01-16;213
2021-01-17;188
2021-01-18;276
2021-01-19;293
2021-01-20;271
2021-01-21;245
2021-01-22;368
2021-01-23;295
2021-01-24;259
2021-01-25;292
2021-01-26;294
2021-01-27;289
2021-01-28;298
2021-01-29;349
2021-01-30;247
2021-01-31;187
2021-02-01;247
2021-02-02;242
2021-02-03;266
2021-02-04;239
2021-02-05;284
2021-02-06;253
2021-02-07;162
2021-02-08;232
2021-02-09;263
2021-02-10;266
2021-02-11;243
2021-02-12;274
2021-02-13;255
2021-02-14;162
2021-02-15;226
2021-02-16;276
2021-02-17;249
2021-02-18;274
2021-02-19;353
2021-02-20;326
2021-02-21;255
2021-02-22;194
2021-02-23;321
2021-02-24;337
2021-02-25;330
2021-02-26;337
2021-02-27;422
2021-02-28;290
2021-03-01;302
2021-03-02;274
2021-03-03;271
2021-03-04;240
2021-03-05;350
2021-03-06;309
2021-03-07;266
2021-03-08;271
2021-03-09;285
2021-03-10;324
2021-03-11;267
2021-03-12;309
2021-03-13;285
2021-03-14;236
2021-03-15;257
2021-03-16;272
2021-03-17;341
2021-03-18;206
2021-03-19;346
2021-03-20;301
2021-03-21;200
2021-03-22;217
2021-03-23;363
2021-03-24;361
2021-03-25;325
2021-03-26;306
2021-03-27;329
2021-03-28;300
2021-03-29;326
2021-03-30;311
2021-03-31;357
2021-04-01;389
2021-04-02;421
2021-04-03;324
2021-04-04;260
2021-04-05;156
2021-04-06;233
2021-04-07;249
2021-04-08;270
2021-04-09;255
2021-04-10;211
2021-04-11;189
2021-04-12;258
2021-04-13;228
2021-04-14;267
2021-04-15;340
2021-04-16;307
2021-04-17;251
2021-04-18;217
2021-04-19;264
2021-04-20;312
2021-04-21;297
2021-04-22;272
2021-04-23;411
2021-04-24;349
2021-04-25;239
2021-04-26;279
2021-04-27;306
2021-04-28;300
2021-04-29;263
2021-04-30;333
2021-05-01;230
2021-05-02;214
2021-05-03;381
2021-05-04;366
2021-05-05;306
2021-05-06;399
2021-05-07;412
2021-05-08;373
2021-05-09;335
2021-05-10;330
2021-05-11;313
2021-05-12;343
2021-05-13;261
2021-05-14;334
2021-05-15;264
2021-05-16;301
2021-05-17;271
2021-05-18;360
2021-05-19;409
2021-05-20;344
2021-05-21;425
2021-05-22;384
2021-05-23;384
2021-05-24;264
2021-05-25;376
2021-05-26;391
2021-05-27;497
2021-05-28;472
2021-05-29;474
2021-05-30;439
2021-05-31;455
2021-06-01;487
2021-06-02;442
2021-06-03;356
2021-06-04;420
2021-06-05;400
2021-06-06;423
2021-06-07;420
2021-06-08;461
2021-06-09;557
2021-06-10;540
2021-06-11;616
2021-06-12;501
2021-06-13;510
2021-06-14;479
2021-06-15;509
2021-06-16;556
2021-06-17;422
2021-06-18;530
2021-06-19;422
2021-06-20;310
2021-06-21;362
2021-06-22;412
2021-06-23;321
2021-06-24;398
2021-06-25;463
2021-06-26;440
2021-06-27;431
2021-06-28;398
2021-06-29;415
2021-06-30;353
2021-07-01;439
2021-07-02;500
2021-07-03;481
2021-07-04;335
2021-07-05;398
2021-07-06;427
2021-07-07;434
2021-07-08;419
2021-07-09;449
2021-07-10;450
2021-07-11;377
2021-07-12;353
2021-07-13;372
2021-07-14;325
2021-07-15;376
2021-07-16;449
2021-07-17;433
2021-07-18;447
2021-07-19;467
2021-07-20;439
2021-07-21;387
2021-07-22;394
2021-07-23;414
2021-07-24;446
2021-07-25;378
2021-07-26;358
2021-07-27;356
2021-07-28;350
2021-07-29;411
2021-07-30;415
2021-07-31;366
2021-08-01;353
2021-08-02;360
2021-08-03;331
2021-08-04;276
2021-08-05;322
2021-08-06;400
2021-08-07;366
2021-08-08;295
2021-08-09;313
2021-08-10;312
2021-08-11;307
2021-08-12;379
2021-08-13;416
2021-08-14;402
2021-08-15;302
2021-08-16;326
2021-08-17;331
2021-08-18;275
2021-08-19;304
2021-08-20;438
2021-08-21;394
2021-08-22;316
2021-08-23;279
2021-08-24;280
2021-08-25;392
2021-08-26;341
2021-08-27;510
2021-08-28;448
2021-08-29;323
2021-08-30;353
2021-08-31;421
2021-09-01;391
2021-09-02;384
2021-09-03;458
2021-09-04;414
2021-09-05;416
2021-09-06;438
2021-09-07;483
2021-09-08;474
2021-09-09;355
2021-09-10;472
2021-09-11;428
2021-09-12;396
2021-09-13;437
2021-09-14;422
2021-09-15;414
2021-09-16;337
2021-09-17;504
2021-09-18;503
2021-09-19;312
2021-09-20;352
2021-09-21;432
2021-09-22;480
2021-09-23;503
2021-09-24;496
2021-09-25;477
2021-09-26;363
2021-09-27;403
2021-09-28;411
2021-09-29;424
2021-09-30;473
2021-10-01;499
2021-10-02;453
2021-10-03;306
2021-10-04;355
2021-10-05;398
2021-10-06;451
2021-10-07;373
2021-10-08;500
2021-10-09;595
2021-10-10;377
2021-10-11;351
2021-10-12;461
2021-10-13;458
2021-10-14;477
2021-10-15;418
2021-10-16;547
2021-10-17;419
2021-10-18;402
2021-10-19;489
2021-10-20;394
2021-10-21;432
2021-10-22;580
2021-10-23;407
2021-10-24;412
2021-10-25;370
2021-10-26;312
2021-10-27;413
2021-10-28;469
2021-10-29;450
2021-10-30;353
2021-10-31;360
2021-11-01;268
2021-11-02;360
2021-11-03;377
2021-11-04;341
2021-11-05;437
2021-11-06;352
2021-11-07;309
2021-11-08;374
2021-11-09;362
2021-11-10;386
2021-11-11;265
2021-11-12;350
2021-11-13;370
2021-11-14;305
2021-11-15;392
2021-11-16;388
2021-11-17;367
2021-11-18;398
2021-11-19;455
2021-11-20;318
2021-11-21;273
2021-11-22;335
2021-11-23;353
2021-11-24;403
2021-11-25;363
2021-11-26;444
2021-11-27;373
2021-11-28;251
2021-11-29;360
2021-11-30;370
2021-12-01;382
2021-12-02;381
2021-12-03;497
2021-12-04;450
2021-12-05;381
2021-12-06;372
2021-12-07;380
2021-12-08;376
2021-12-09;482
2021-12-10;422
2021-12-11;411
2021-12-12;285
2021-12-13;392
2021-12-14;332
2021-12-15;346
2021-12-16;350
2021-12-17;477
2021-12-18;374
2021-12-19;311
2021-12-20;249
2021-12-21;356
2021-12-22;345
2021-12-23;353
2021-12-24;251
2021-12-25;238
2021-12-26;244
2021-12-27;260
2021-12-28;295
2021-12-29;214
2021-12-30;296
2021-12-31;284
2022-01-01;265
2022-01-02;194
2022-01-03;286
2022-01-04;275
2022-01-05;267
2022-01-06;290
2022-01-07;330
2022-01-08;265
2022-01-09;233
2022-01-10;298
2022-01-11;280
2022-01-12;330
2022-01-13;329
2022-01-14;392
2022-01-15;336
2022-01-16;225
2022-01-17;317
2022-01-18;271
2022-01-19;281
2022-01-20;260
2022-01-21;380
2022-01-22;297
2022-01-23;230
2022-01-24;301
2022-01-25;288
2022-01-26;280
2022-01-27;277
2022-01-28;328
2022-01-29;356
2022-01-30;279
2022-01-31;277
2022-02-01;308
2022-02-02;280
2022-02-03;298
2022-02-04;465
2022-02-05;424
2022-02-06;267
2022-02-07;317
2022-02-08;291
2022-02-09;340
2022-02-10;313
2022-02-11;442
2022-02-12;381
2022-02-13;239
2022-02-14;310
2022-02-15;283
2022-02-16;271
2022-02-17;280
2022-02-18;354
2022-02-19;336
2022-02-20;245
2022-02-21;255
2022-02-22;297
2022-02-23;295
2022-02-24;235
2022-02-25;398
2022-02-26;466
2022-02-27;299
2022-02-28;308
2022-03-01;275
2022-03-02;267
2022-03-03;347
2022-03-04;365
2022-03-05;333
2022-03-06;335
2022-03-07;271
2022-03-08;335
2022-03-09;330
2022-03-10;294
2022-03-11;407
2022-03-12;381
2022-03-13;268
2022-03-14;325
2022-03-15;311
2022-03-16;294
2022-03-17;309
2022-03-18;400
2022-03-19;373
2022-03-20;286
2022-03-21;332
2022-03-22;319
2022-03-23;361
2022-03-24;351
2022-03-25;446
2022-03-26;419
2022-03-27;334
2022-03-28;253
2022-03-29;282
2022-03-30;285
2022-03-31;314
2022-04-01;330
2022-04-02;294
2022-04-03;217
2022-04-04;244
2022-04-05;335
2022-04-06;299
2022-04-07;303
2022-04-08;365
2022-04-09;309
2022-04-10;351
2022-04-11;332
2022-04-12;306
2022-04-13;329
2022-04-14;363
2022-04-15;410
2022-04-16;478
2022-04-17;361
2022-04-18;271
2022-04-19;326
2022-04-20;352
2022-04-21;327
2022-04-22;382
2022-04-23;260
2022-04-24;218
2022-04-25;345
2022-04-26;362
2022-04-27;369
2022-04-28;375
2022-04-29;403
2022-04-30;433
2022-05-01;351
2022-05-02;293
2022-05-03;322
2022-05-04;354
2022-05-05;309
2022-05-06;456
2022-05-07;415
2022-05-08;379
2022-05-09;387
2022-05-10;419
2022-05-11;502
2022-05-12;358
2022-05-13;483
2022-05-14;432
2022-05-15;405
2022-05-16;352
2022-05-17;478
2022-05-18;407
2022-05-19;379
2022-05-20;486
2022-05-21;485
2022-05-22;379
2022-05-23;409
2022-05-24;375
2022-05-25;385
2022-05-26;281
2022-05-27;410
2022-05-28;384
2022-05-29;369
2022-05-30;349
2022-05-31;337
2022-06-01;428
2022-06-02;395
2022-06-03;504
2022-06-04;522
2022-06-05;302
2022-06-06;283
2022-06-07;401
2022-06-08;331
2022-06-09;439
2022-06-10;437
2022-06-11;469
2022-06-12;423
2022-06-13;434
2022-06-14;442
2022-06-15;405
2022-06-16;468
2022-06-17;516
2022-06-18;433
2022-06-19;425
2022-06-20;361
2022-06-21;429
2022-06-22;406
2022-06-23;341
2022-06-24;410
2022-06-25;412
2022-06-26;393
2022-06-27;362
2022-06-28;363
2022-06-29;410
2022-06-30;360
2022-07-01;507
2022-07-02;419
2022-07-03;362
2022-07-04;422
2022-07-05;472
2022-07-06;374
2022-07-07;388
2022-07-08;521
2022-07-09;427
2022-07-10;414
2022-07-11;415
2022-07-12;419
2022-07-13;385
2022-07-14;312
2022-07-15;351
2022-07-16;407
2022-07-17;362
2022-07-18;319
2022-07-19;326
2022-07-20;360
2022-07-21;400
2022-07-22;318
2022-07-23;365
2022-07-24;318
2022-07-25;283
2022-07-26;306
2022-07-27;341
2022-07-28;348
2022-07-29;339
2022-07-30;406
2022-07-31;316
2022-08-01;279
2022-08-02;387
2022-08-03;335
2022-08-04;249
2022-08-05;387
2022-08-06;397
2022-08-07;389
2022-08-08;301
2022-08-09;269
2022-08-10;325
2022-08-11;265
2022-08-12;302
2022-08-13;371
2022-08-14;328
2022-08-15;199
2022-08-16;300
2022-08-17;218
2022-08-18;266
2022-08-19;284
2022-08-20;361
2022-08-21;253
2022-08-22;256
2022-08-23;294
2022-08-24;372
2022-08-25;320
2022-08-26;345
2022-08-27;284
2022-08-28;292
2022-08-29;339
2022-08-30;337
2022-08-31;368
2022-09-01;319
2022-09-02;377
2022-09-03;365
2022-09-04;319
2022-09-05;364
2022-09-06;353
2022-09-07;333
2022-09-08;287
2022-09-09;420
2022-09-10;362
2022-09-11;425
2022-09-12;383
2022-09-13;298
2022-09-14;387
2022-09-15;344
2022-09-16;381
2022-09-17;403
2022-09-18;402
2022-09-19;428
2022-09-20;399
2022-09-21;457
2022-09-22;408
2022-09-23;382
2022-09-24;367
2022-09-25;350
2022-09-26;337
2022-09-27;375
2022-09-28;342
2022-09-29;352
2022-09-30;387
2022-10-01;427
2022-10-02;377
2022-10-03;350
2022-10-04;346
2022-10-05;373
2022-10-06;436
2022-10-07;470
2022-10-08;435
2022-10-09;315
2022-10-10;329
2022-10-11;385
2022-10-12;327
2022-10-13;362
2022-10-14;468
2022-10-15;365
2022-10-16;294
2022-10-17;343
2022-10-18;314
2022-10-19;334
2022-10-20;393
2022-10-21;467
2022-10-22;369
2022-10-23;285
2022-10-24;334
2022-10-25;373
2022-10-26;390
2022-10-27;328
2022-10-28;388
2022-10-29;445
2022-10-30;334
2022-10-31;305
2022-11-01;295
2022-11-02;370
2022-11-03;295
2022-11-04;307
2022-11-05;338
2022-11-06;314
2022-11-07;384
2022-11-08;314
2022-11-09;384
2022-11-10;428
2022-11-11;284
2022-11-12;376
2022-11-13;348
2022-11-14;351
2022-11-15;384
2022-11-16;426
2022-11-17;318
2022-11-18;382
2022-11-19;283
2022-11-20;331
2022-11-21;412
2022-11-22;319
2022-11-23;311
2022-11-24;389
2022-11-25;426
2022-11-26;355
2022-11-27;270
2022-11-28;319
2022-11-29;335
2022-11-30;291
2022-12-01;301
2022-12-02;371
2022-12-03;365
2022-12-04;322
2022-12-05;439
2022-12-06;294
2022-12-07;358
2022-12-08;345
2022-12-09;378
2022-12-10;378
2022-12-11;260
2022-12-12;339
2022-12-13;325
2022-12-14;320
2022-12-15;339
2022-12-16;433
2022-12-17;312
2022-12-18;276
2022-12-19;282
2022-12-20;289
2022-12-21;304
2022-12-22;315
2022-12-23;415
2022-12-24;250
2022-12-25;191
2022-12-26;234
2022-12-27;245
2022-12-28;222
2022-12-29;239
2022-12-30;288
2022-12-31;254
2023-01-01;343
2023-01-02;283
2023-01-03;262
2023-01-04;317
2023-01-05;297
2023-01-06;308
2023-01-07;290
2023-01-08;246
2023-01-09;292
2023-01-10;319
2023-01-11;352
2023-01-12;380
2023-01-13;347
2023-01-14;358
2023-01-15;251
2023-01-16;366
2023-01-17;313
2023-01-18;347
2023-01-19;272
2023-01-20;304
2023-01-21;298
2023-01-22;182
2023-01-23;222
2023-01-24;334
2023-01-25;240
2023-01-26;273
2023-01-27;275
2023-01-28;290
2023-01-29;243
2023-01-30;259
2023-01-31;315
2023-02-01;313
2023-02-02;333
2023-02-03;392
2023-02-04;353
2023-02-05;255
2023-02-06;320
2023-02-07;359
2023-02-08;362
2023-02-09;293
2023-02-10;359
2023-02-11;297
2023-02-12;303
2023-02-13;330
2023-02-14;295
2023-02-15;307
2023-02-16;235
2023-02-17;338
2023-02-18;284
2023-02-19;260
2023-02-20;342
2023-02-21;244
2023-02-22;254
2023-02-23;264
2023-02-24;309
2023-02-25;278
2023-02-26;215
2023-02-27;284
2023-02-28;227
2023-03-01;284
2023-03-02;256
2023-03-03;361
2023-03-04;314
2023-03-05;224
2023-03-06;264
2023-03-07;239
2023-03-08;329
2023-03-09;339
2023-03-10;291
2023-03-11;257
2023-03-12;235
2023-03-13;284
2023-03-14;321
2023-03-15;293
2023-03-16;358
2023-03-17;310
2023-03-18;283
2023-03-19;276
2023-03-20;271
2023-03-21;338
2023-03-22;295
2023-03-23;260
2023-03-24;371
2023-03-25;296
2023-03-26;206
2023-03-27;273
2023-03-28;327
2023-03-29;320
2023-03-30;291
2023-03-31;306
2023-04-01;312
2023-04-02;225
